Department,ShareFolder,SecurityGroup
ADMINS,admins$,ADMINS
BUSINESS,business lecturers$,BUSINESS
CD&T,cd&t lecturers$,CLOTHING DESIGN AND TEXTILES
ELECTRICAL,electrical lecturers$,ELECTRICAL AND ELECTRONICS ENGINEERING
HBT,hbt lecturers$,HAIRDRESSING AND BEAUTY THERAPY
HOSPITALITY,hospitality lecturers$,HOSPITALITY AND TOURISM
ICT,ict lecturers$,INFORMATION COMMUNICATIONS TECHNOLOGY
KEYSKILLS,keyskills lecturers$,KEYSKILLS
SPECIAL NEEDS,special needs lecturers$,SPECIAL NEEDS
SUPPORT STAFF,support staff$,SUPPORT STAFF
